# Undirected graph (each unordered pair of nodes is saved once): data/synthetic/prefattach0.txt
# Nodes: 10000 Edges: 99945
# NodeId	NodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	7
0	8
0	9
0	10
0	11
0	12
0	13
0	14
0	15
0	17
0	20
0	22
0	24
0	26
0	28
0	30
0	33
0	35
0	36
0	39
0	50
0	51
0	53
0	54
0	57
0	62
0	71
0	77
0	95
0	115
0	116
0	144
0	148
0	150
0	191
0	195
0	202
0	209
0	214
0	222
0	224
0	227
0	248
0	254
0	263
0	265
0	277
0	283
0	284
0	312
0	317
0	319
0	324
0	350
0	367
0	384
0	389
0	397
0	408
0	411
0	430
0	445
0	483
0	486
0	499
0	504
0	512
0	556
0	586
0	592
0	605
0	608
0	629
0	658
0	667
0	679
0	684
0	695
0	702
0	712
0	715
0	722
0	733
0	749
0	756
0	799
0	830
0	834
0	862
0	863
0	865
0	866
0	887
0	895
0	904
0	914
0	920
0	935
0	940
0	971
0	998
0	1011
0	1015
0	1050
0	1078
0	1093
0	1139
0	1174
0	1196
0	1285
0	1293
0	1310
0	1339
0	1340
0	1379
0	1380
0	1415
0	1452
0	1467
0	1501
0	1512
0	1515
0	1560
0	1569
0	1631
0	1641
0	1668
0	1698
0	1699
0	1712
0	1718
0	1735
0	1752
0	1756
0	1857
0	1869
0	1901
0	1936
0	2027
0	2135
0	2202
0	2203
0	2213
0	2233
0	2295
0	2320
0	2324
0	2340
0	2385
0	2419
0	2461
0	2470
0	2502
0	2588
0	2598
0	2718
0	2728
0	2769
0	2836
0	2875
0	2876
0	2893
0	2923
0	2930
0	2967
0	2998
0	3023
0	3052
0	3054
0	3186
0	3196
0	3237
0	3272
0	3395
0	3416
0	3478
0	3507
0	3549
0	3550
0	3562
0	3625
0	3646
0	3648
0	3678
0	3727
0	3781
0	3886
0	3979
0	4027
0	4085
0	4130
0	4146
0	4222
0	4237
0	4260
0	4287
0	4301
0	4359
0	4617
0	4671
0	4679
0	4694
0	4730
0	4822
0	4875
0	4878
0	4880
0	4962
0	5001
0	5072
0	5092
0	5104
0	5118
0	5140
0	5168
0	5221
0	5323
0	5404
0	5445
0	5467
0	5470
0	5477
0	5594
0	5698
0	5727
0	5833
0	5875
0	5907
0	5995
0	6044
0	6188
0	6201
0	6360
0	6374
0	6456
0	6520
0	6532
0	6612
0	6619
0	6643
0	6651
0	6713
0	6788
0	6860
0	7038
0	7088
0	7229
0	7239
0	7318
0	7339
0	7354
0	7440
0	7499
0	7609
0	7681
0	7753
0	7825
0	7888
0	7928
0	7997
0	8068
0	8107
0	8129
0	8202
0	8237
0	8268
0	8279
0	8307
0	8428
0	8496
0	8503
0	8581
0	8656
0	8660
0	8695
0	8828
0	8976
0	9022
0	9024
0	9082
0	9121
0	9135
0	9154
0	9159
0	9186
0	9219
0	9260
0	9350
0	9373
0	9380
0	9438
0	9522
0	9630
0	9720
0	9833
1	2
1	3
1	4
1	5
1	6
1	7
1	8
1	9
1	10
1	11
1	12
1	14
1	15
1	17
1	21
1	22
1	23
1	25
1	27
1	39
1	40
1	41
1	44
1	47
1	49
1	51
1	52
1	58
1	59
1	68
1	72
1	83
1	87
1	91
1	93
1	94
1	113
1	126
1	127
1	132
1	136
1	137
1	138
1	148
1	153
1	154
1	158
1	161
1	167
1	170
1	185
1	186
1	187
1	192
1	195
1	229
1	231
1	232
1	241
1	242
1	266
1	267
1	299
1	301
1	302
1	309
1	313
1	320
1	322
1	327
1	334
1	356
1	363
1	370
1	380
1	383
1	387
1	406
1	416
1	420
1	422
1	423
1	426
1	448
1	455
1	456
1	460
1	467
1	530
1	537
1	549
1	563
1	565
1	586
1	603
1	641
1	662
1	715
1	720
1	729
1	734
1	746
1	748
1	771
1	796
1	799
1	821
1	830
1	874
1	878
1	882
1	891
1	894
1	899
1	918
1	923
1	967
1	999
1	1014
1	1039
1	1041
1	1051
1	1065
1	1078
1	1079
1	1086
1	1092
1	1111
1	1155
1	1159
1	1168
1	1176
1	1185
1	1199
1	1200
1	1288
1	1353
1	1374
1	1376
1	1462
1	1479
1	1480
1	1543
1	1550
1	1572
1	1576
1	1582
1	1616
1	1639
1	1673
1	1704
1	1719
1	1759
1	1793
1	1806
1	1840
1	1908
1	1949
1	1982
1	2053
1	2054
1	2080
1	2084
1	2127
1	2182
1	2213
1	2278
1	2391
1	2431
1	2433
1	2448
1	2459
1	2545
1	2546
1	2613
1	2642
1	2662
1	2665
1	2686
1	2704
1	2746
1	2785
1	2814
1	2827
1	2838
1	2872
1	2893
1	2934
1	2946
1	2947
1	2969
1	3024
1	3043
1	3072
1	3134
1	3159
1	3174
1	3189
1	3204
1	3237
1	3306
1	3346
1	3387
1	3420
1	3426
1	3444
1	3458
1	3497
1	3512
1	3535
1	3557
1	3591
1	3606
1	3643
1	3647
1	3655
1	3707
1	3723
1	3746
1	3769
1	3787
1	3800
1	3802
1	3821
1	3839
1	3865
1	3914
1	3930
1	3940
1	3995
1	4064
1	4121
1	4123
1	4185
1	4223
1	4237
1	4289
1	4371
1	4413
1	4539
1	4581
1	4633
1	4639
1	4706
1	4734
1	4781
1	4800
1	4822
1	4836
1	4867
1	4924
1	4990
1	4993
1	5024
1	5033
1	5057
1	5058
1	5148
1	5152
1	5268
1	5343
1	5352
1	5357
1	5383
1	5440
1	5503
1	5577
1	5589
1	5610
1	5646
1	5649
1	5671
1	5720
1	5780
1	5816
1	5882
1	5915
1	5974
1	5993
1	6063
1	6129
1	6231
1	6246
1	6303
1	6366
1	6367
1	6400
1	6508
1	6517
1	6555
1	6578
1	6618
1	6623
1	6662
1	6784
1	6846
1	6888
1	6935
1	6946
1	7005
1	7011
1	7042
1	7124
1	7158
1	7175
1	7176
1	7182
1	7214
1	7248
1	7268
1	7386
1	7464
1	7518
1	7548
1	7586
1	7614
1	7712
1	7718
1	7745
1	7758
1	7812
1	7849
1	7973
1	7976
1	8056
1	8065
1	8218
1	8394
1	8395
1	8526
1	8567
1	8616
1	8633
1	8639
1	8797
1	8818
1	9070
1	9078
1	9111
1	9192
1	9261
1	9420
1	9441
1	9678
1	9753
1	9759
1	9765
1	9766
1	9796
1	9826
1	9830
1	9846
1	9897
1	9933
2	3
2	4
2	5
2	6
2	7
2	8
2	9
2	10
2	11
2	12
2	13
2	14
2	16
2	17
2	18
2	27
2	33
2	34
2	35
2	38
2	41
2	46
2	47
2	56
2	59
2	60
2	71
2	74
2	77
2	98
2	111
2	113
2	114
2	122
2	124
2	136
2	137
2	141
2	145
2	147
2	169
2	171
2	184
2	192
2	217
2	219
2	229
2	230
2	244
2	249
2	252
2	259
2	267
2	268
2	274
2	275
2	279
2	283
2	285
2	287
2	296
2	331
2	334
2	337
2	338
2	339
2	393
2	397
2	399
2	402
2	404
2	406
2	418
2	426
2	428
2	429
2	431
2	432
2	451
2	465
2	476
2	478
2	487
2	497
2	499
2	522
2	532
2	540
2	555
2	558
2	563
2	578
2	623
2	638
2	643
2	647
2	650
