5 2 1 1 0 0 0 0 1 , 4
1 64 1 2 0 0 0 0 1 , 5
1 38 0 2 0 0 0 0 1 , 5
1 3 1 1 0 0 0 0 1 , 4
4 18 0 2 0 0 0 0 1 , 6
1 71 0 12 0 0 0 0 1 , 3
3 16 1 1 0 0 0 0 1 , 2
3 3 1 1 0 0 0 0 1 , 5
2 75 1 7 0 0 0 0 1 , 6
1 23 1 2 0 0 0 0 1 , 5
1 1 1 1 0 0 0 0 1 , 8
1 11 1 1 0 0 0 0 1 , 3
1 12 1 1 0 0 0 0 1 , 2
1 7 0 1 0 0 0 0 1 , 6
5 4 0 2 0 0 0 0 1 , 4
6 3 1 2 0 0 0 0 1 , 2
5 12 1 1 0 0 0 0 1 , 2
3 16 0 3 0 0 0 0 1 , 6
8 19 1 1 0 0 0 0 1 , 1
3 23 1 1 0 0 0 0 1 , 5
3 2 1 1 0 0 0 0 1 , 5
2 10 1 2 0 0 0 0 1 , 4
3 14 1 1 0 0 0 0 1 , 3
1 17 1 2 0 0 0 0 1 , 2
4 25 1 2 0 0 0 0 1 , 1
4 11 1 1 0 0 0 0 1 , 4
11 13 1 1 0 0 0 0 1 , 4
1 64 0 2 0 0 0 0 1 , 7
6 61 1 1 0 0 0 0 1 , 3
6 27 1 1 0 0 0 0 1 , 2
6 77 1 2 0 0 0 0 1 , 5
1 55 1 1 0 0 0 0 1 , 1
6 38 1 1 0 0 0 0 1 , 3
5 19 1 1 0 0 0 0 1 , 3
2 45 1 1 0 0 0 0 1 , 5
2 71 1 1 0 0 0 0 1 , 6
5 22 1 1 0 0 0 0 1 , 5
6 21 1 2 0 0 0 0 1 , 2
2 23 1 2 0 0 0 0 1 , 5
0 17 1 2 0 0 0 0 1 , 4
1 42 1 3 0 0 0 0 1 , 4
3 37 1 1 0 0 0 0 1 , 3
1 3 1 1 0 0 0 0 1 , 6
1 71 1 2 0 0 0 0 1 , 3
6 7 1 2 0 0 0 0 1 , 3
6 2 1 1 0 0 0 0 1 , 5
